"date","npkg","nnew","ndrop"
2023-03-08,19319,13,1
2023-03-09,19329,11,1
2023-03-10,19324,9,14
2023-03-11,19316,5,13
2023-03-12,19310,0,6
2023-03-13,19323,14,1
2023-03-14,19332,11,2
2023-03-15,19327,13,3
2023-03-16,19324,13,16
2023-03-17,19331,11,4
2023-03-18,19330,2,3
2023-03-19,19330,0,0
2023-03-20,19335,8,3
2023-03-21,19346,13,2
2023-03-22,19365,19,0
2023-03-23,19366,7,6
2023-03-24,19387,11,5
2023-03-25,19387,1,1
2023-03-26,19391,5,1
2023-03-27,19379,12,24
2023-03-28,19384,10,5
2023-03-29,19389,6,1
2023-03-30,19392,6,3
2023-03-31,19389,14,17
2023-04-01,19387,1,3
2023-04-02,19381,2,8
2023-04-03,19378,11,14
2023-04-04,19392,14,0
2023-04-05,19383,11,20
2023-04-06,19386,6,3
2023-04-07,19375,11,22
2023-04-08,19374,0,1
2023-04-09,19375,1,0
2023-04-10,19362,7,20
2023-04-11,19367,7,2
2023-04-12,19387,21,1
2023-04-13,19385,9,11
2023-04-14,19391,12,6
2023-04-15,19391,1,1
2023-04-16,19391,1,1
2023-04-17,19398,9,2
2023-04-18,19414,21,5
2023-04-19,19412,5,7
2023-04-20,19423,15,4
2023-04-21,19413,8,3
2023-04-22,19417,6,2
2023-04-23,19421,4,0
2023-04-24,19426,12,7
2023-04-25,19434,11,3
2023-04-26,19445,11,0
2023-04-27,19451,12,6
2023-04-28,19455,8,4
2023-04-29,19456,1,0
2023-04-30,19456,2,2
2023-05-01,19454,0,2
2023-05-02,19470,16,0
2023-05-03,19483,13,0
2023-05-04,19491,9,1
2023-05-05,19484,15,22
2023-05-06,19483,2,3
2023-05-07,19482,5,6
2023-05-08,19493,19,8
2023-05-09,19506,15,2
2023-05-10,19511,10,5
2023-05-11,19525,15,1
2023-05-12,19531,6,0
2023-05-13,19531,0,0
2023-05-14,19530,1,2
2023-05-15,19533,12,9
2023-05-16,19540,8,1
2023-05-17,19546,9,3
2023-05-18,19550,10,6
2023-05-19,19547,8,11
2023-05-20,19547,6,6
2023-05-21,19549,2,0
2023-05-22,19558,9,0
2023-05-23,19556,5,7
2023-05-24,19579,23,0
2023-05-25,19590,13,2
2023-05-26,19600,11,1
2023-05-27,19597,0,3
2023-05-28,19593,0,4
2023-05-29,19600,9,2
2023-05-30,19618,19,1
2023-05-31,19614,8,12
2023-06-01,19623,11,2
2023-06-02,19629,11,5
2023-06-03,19629,1,1
2023-06-04,19647,3,0
2023-06-05,19643,3,7
2023-06-06,19657,14,0
2023-06-07,19668,12,1
2023-06-08,19675,7,0
2023-06-09,19682,12,5
2023-06-10,19685,4,1
2023-06-11,19689,7,3
2023-06-12,19695,11,5
2023-06-13,19711,16,0
2023-06-14,19724,14,1
2023-06-15,19736,13,1
2023-06-16,19729,12,4
2023-06-17,19728,0,1
2023-06-18,19730,3,1
2023-06-19,19745,18,3
2023-06-20,19741,6,10
2023-06-21,19747,7,1
2023-06-22,19760,13,0
2023-06-23,19766,8,2
2023-06-24,19766,0,0
2023-06-25,19765,1,2
2023-06-26,19768,4,1
2023-06-27,19775,10,3
2023-06-28,19781,7,1
2023-06-29,19789,8,0
2023-06-30,19801,14,2
2023-07-01,19806,5,0
2023-07-02,19807,1,0
2023-07-03,19804,4,7
2023-07-04,19807,5,2
2023-07-05,19822,15,0
2023-07-06,19844,24,2
2023-07-07,19841,9,12
2023-07-08,19849,9,1
2023-07-09,19842,0,7
2023-07-10,19841,4,5
2023-07-11,19840,9,10
2023-07-12,19840,0,0
2023-07-13,19849,9,0
2023-07-14,19852,3,0
2023-07-15,19853,1,0
2023-07-16,19858,6,1
2023-07-17,19868,10,0
2023-07-18,19864,7,11
2023-07-19,19880,19,3
2023-07-20,19889,11,2
2023-07-21,19894,5,0
2023-07-22,19898,4,0
2023-07-23,19898,0,0
2023-07-24,19898,0,0
2023-07-25,19897,0,1
2023-07-26,19897,0,0
2023-07-27,19897,0,0
2023-07-28,19897,0,0
2023-07-29,19895,0,2
2023-07-30,19895,0,0
2023-07-31,19895,0,0
2023-08-01,19895,0,0
2023-08-02,19895,0,0
2023-08-03,19891,0,4
2023-08-04,19891,0,0
2023-08-05,19891,0,0
2023-08-06,19891,0,0
2023-08-07,19892,2,1
2023-08-08,19904,14,2
2023-08-09,19920,17,1
2023-08-10,19908,11,23
2023-08-11,19909,12,11
2023-08-12,19919,12,2
2023-08-13,19919,1,1
2023-08-14,19922,11,8
2023-08-15,19933,18,7
2023-08-16,19945,15,3
2023-08-17,19972,27,0
2023-08-18,19869,16,119
2023-08-19,19788,0,81
2023-08-20,19788,0,0
2023-08-21,19805,17,0
2023-08-22,19813,11,3
2023-08-23,19818,5,0
2023-08-24,19833,17,2
2023-08-25,19833,12,12
2023-08-26,19828,1,6
2023-08-27,19808,0,20
2023-08-28,19797,13,24
2023-08-29,19809,14,2
2023-08-30,19820,11,0
2023-08-31,19825,9,4
2023-09-01,19823,5,7
2023-09-02,19827,4,0
2023-09-03,19830,4,1
2023-09-04,19840,11,1
2023-09-05,19850,15,5
2023-09-06,19863,15,2
2023-09-07,19871,10,2
2023-09-08,19880,9,0
2023-09-09,19878,0,2
2023-09-10,19875,3,6
2023-09-11,19871,14,18
2023-09-12,19885,14,0
2023-09-13,19893,14,6
2023-09-14,19911,18,0
2023-09-15,19921,10,0
2023-09-16,19910,0,11
2023-09-17,19910,0,0
2023-09-18,19915,10,5
2023-09-19,19914,15,16
2023-09-20,19926,12,0
2023-09-21,19934,9,1
2023-09-22,19942,10,2
2023-09-23,19948,7,1
2023-09-24,19950,3,1
2023-09-25,19959,9,0
2023-09-26,19942,2,19
2023-09-27,19947,9,4
2023-09-28,19942,3,8
2023-09-29,19949,8,1
2023-09-30,19948,0,1
2023-10-01,19957,12,3
2023-10-02,19963,9,3
2023-10-03,19967,4,0
2023-10-04,19972,5,0
2023-10-05,19978,7,1
2023-10-06,19989,15,4
2023-10-07,19990,1,0
2023-10-08,19991,2,1
2023-10-09,20002,13,2
2023-10-10,20006,10,6
2023-10-11,20015,11,2
2023-10-12,20031,17,1
2023-10-13,20030,6,7
2023-10-14,20031,2,1
2023-10-15,20026,6,11
2023-10-16,19951,8,83
2023-10-17,19966,11,9
2023-10-18,19976,14,4
2023-10-19,19988,12,0
2023-10-20,19996,13,5
2023-10-21,19994,0,2
2023-10-22,19995,2,1
2023-10-23,20004,9,0
2023-10-24,19979,10,35
2023-10-25,19987,11,3
2023-10-26,19994,8,1
2023-10-27,19998,7,3
2023-10-28,20003,6,1
2023-10-29,19998,1,6
2023-10-30,19995,14,17
2023-10-31,19977,12,15
2023-11-01,19974,5,8
2023-11-02,19986,12,0
2023-11-03,19987,7,6
2023-11-04,19988,1,0
2023-11-05,19984,1,5
2023-11-06,19988,6,2
2023-11-07,20000,14,2
2023-11-08,20018,18,0
2023-11-09,20032,15,1
2023-11-10,20041,11,2
2023-11-11,20044,3,0
2023-11-12,20043,5,6
2023-11-13,20051,11,3
2023-11-14,20041,13,23
2023-11-15,20043,5,3
2023-11-16,20048,10,5
2023-11-17,20067,20,1
2023-11-18,20067,3,3
2023-11-19,20071,7,3
2023-11-20,20072,7,6
2023-11-21,20093,24,3
2023-11-22,20102,10,1
2023-11-23,20111,12,3
2023-11-24,20117,8,2
2023-11-25,20118,1,0
2023-11-26,20118,0,0
2023-11-27,20125,11,4
2023-11-28,20125,8,8
2023-11-29,20130,11,6
2023-11-30,20141,11,0
2023-12-01,20146,5,0
2023-12-02,20146,1,1
2023-12-03,20147,1,0
2023-12-04,20158,12,1
2023-12-05,20163,8,3
2023-12-06,20171,11,3
2023-12-07,20176,10,5
2023-12-08,20186,10,0
2023-12-09,20186,0,0
2023-12-10,20193,7,0
2023-12-11,20194,5,4
2023-12-12,20205,15,4
2023-12-13,20220,15,0
2023-12-14,20228,10,2
2023-12-15,20233,7,2
2023-12-16,20228,1,6
2023-12-17,20233,5,0
2023-12-18,20242,11,2
2023-12-19,20247,6,1
2023-12-20,20257,12,2
2023-12-21,20271,14,0
2023-12-22,20268,0,3
2023-12-23,20268,0,0
2023-12-24,20268,0,0
2023-12-25,20268,0,0
2023-12-26,20268,0,0
2023-12-27,20268,0,0
2023-12-28,20267,0,1
2023-12-29,20265,0,2
2023-12-30,20264,0,1
2023-12-31,20264,0,0
2024-01-01,20264,0,0
2024-01-02,20264,0,0
2024-01-03,20263,0,1
2024-01-04,20263,0,0
2024-01-05,20263,0,0
2024-01-06,20263,0,0
2024-01-07,20263,0,0
2024-01-08,20273,10,0
2024-01-09,20285,12,0
2024-01-10,20301,24,8
2024-01-11,20303,19,17
2024-01-12,20261,14,56
2024-01-13,20260,5,6
2024-01-14,20259,1,2
2024-01-15,20267,9,1
2024-01-16,20287,20,0
2024-01-17,20299,13,1
2024-01-18,20309,12,2
2024-01-19,20319,11,1
2024-01-20,20319,0,0
2024-01-21,20322,4,1
2024-01-22,20327,16,11
2024-01-23,20328,9,8
2024-01-24,20327,8,9
2024-01-25,20325,4,6
2024-01-26,20323,4,6
2024-01-27,20325,3,1
2024-01-28,20319,1,7
2024-01-29,20324,7,2
2024-01-30,20322,3,5
2024-01-31,20340,21,3
2024-02-01,20348,11,3
2024-02-02,20366,21,3
2024-02-03,20375,9,0
2024-02-04,20384,9,0
2024-02-05,20400,18,2
2024-02-06,20418,19,1
2024-02-07,20432,14,0
2024-02-08,20433,5,4
2024-02-09,20446,13,0
2024-02-10,20430,1,17
2024-02-11,20430,2,2
